Intermediate_Population,Population Definition Reported,144,167,180,296,301,314,364,369,372,376,387,522,645
Granulocytes,"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q4: CD16-,, CD11b-,Freq. of,Neutr",,,X,,,,,,,,,,
Inactive pDCs,"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40-",,,,,,,,X,X,X,,,X
Inactive pDCs,"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86-",X,,,,,,X,X,X,X,,,X
Inactive pDCs,"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD86-",,,,,,,,,,,X,,
Inactive pDCs,"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40-,Freq. of Parent",,,,X,X,,,,,,,,
Inactive pDCs,"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD86-,Freq. of Parent",,,,X,X,,,,,,,,
Leukocytes (Unspecified),"Singlet/CD45+,Count",X,,,,,,,,,,,X,
Memory B cells,"CD19+, CD3-, CD14-, CD27+, IgD-",X,,,,,,X,X,X,X,,,X
Memory B cells,"CD19+, CD3-, CD14-, CD27+, IgD-, CD86+",X,,,,,,X,X,X,X,,,
Memory B cells,"CD19+, CD3-, CD14-, CD27+, IgD-, HLADR+",,,,,,,,,,,,,X
Memory B cells,"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27+,, IgD-,Freq. of,Q2: CD19+, CD20+",X,,,,,,,,,,,X,
Memory B cells,"Singlet/WBC/Lymph/CD19/CD27+, IgD-",,,,,,,,,,,X,,
Memory B cells,"Singlet/WBC/Lymph/CD19/CD27+, IgD-/CD86+",,,,,,,,,,,X,,
Memory B cells,"WBC/CD19+SCC/CD19+/nQ3: CD27+,, IgD,Freq. of,CD19+",,,X,,,,,,,,,,
Memory B cells,"sing/WBC/CD19+SCC/CD19+/nQ3: CD27+,, IgD-,Freq. of,CD19+",,,X,,,,,,,,,,
Memory CD4+ T cells (Other),"CD3+, CD4+, CD8-, CXCR5-, CD45RA-",X,,,,,,X,X,X,X,,,X
Memory CD4+ T cells (Other),"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+",X,,,,,,X,X,X,X,,,X
Memory CD4+ T cells (Other),"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-",X,,,,,,X,X,X,X,,,X
Memory CD4+ T cells (Other),"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+",X,,,,,,X,X,X,X,,,X
Memory CD4+ T cells (Other),"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-",X,,,,,,X,X,X,X,,,X
Memory CD4+ T cells (Other),"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-",,,,,,,,,,,X,,
Memory CD4+ T cells (Other),"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6+",,,,,,,,,,,X,,
Memory CD4+ T cells (Other),"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6-",,,,,,,,,,,X,,
Memory CD4+ T cells (Other),"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6+",,,,,,,,,,,X,,
Memory CD4+ T cells (Other),"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6-",,,,,,,,,,,X,,
Memory CD8+ T cells (Other),"CD3+, CD4-, CD8+, CCR6+",X,,,,,,X,X,X,X,,,X
Memory CD8+ T cells (Other),"CD3+, CD4-, CD8+, CXCR3+",X,,,,,,X,X,X,X,,,X
Memory CD8+ T cells (Other),"CD3+, CD4-, CD8+, CXCR5+",X,,,,,,X,X,X,X,,,X
Memory CD8+ T cells (Other),Singlet/WBC/Lymph/CD3/CD8/CCR6+,,,,,,,,,,,X,,
Memory CD8+ T cells (Other),Singlet/WBC/Lymph/CD3/CD8/CXCR3+,,,,,,,,,,,X,,
Memory CD8+ T cells (Other),Singlet/WBC/Lymph/CD3/CD8/CXCR5+,,,,,,,,,,,X,,
Memory CD8+ T cells (Other),"Singlets/WBC/Lymph/CD3/CD8/CCR6,Freq. of,CD8",,,,X,X,,,,,,,,
Memory CD8+ T cells (Other),"Singlets/WBC/Lymph/CD3/CD8/CXCR3,Freq. of,CD8",,,,X,X,,,,,,,,
Memory CD8+ T cells (Other),"Singlets/WBC/Lymph/CD3/CD8/CXCR5,Freq. of,CD8",,,,X,X,,,,,,,,
Memory T cells,"Singlets/WBC/Lymph/CD3+/CD27,Freq. of Parent",,,,X,X,,,,,,,,
Monocytes (Unspecified),"CD14+, HLA-DR+",X,,,,,,X,X,X,X,,,X
Monocytes (Unspecified),"CD14+, HLADR+",X,,,,,,,,,,,,
Monocytes (Unspecified),Singlet/WBC/Mono/CD14+/HLADR,,,,,,,,,,,X,,
Monocytes (Unspecified),"Singlet/WBC/Mono/CD14+/HLADR/CD14-, CD16-",,,,,,,,,,,X,,
Monocytes (Unspecified),"WBC/2-WBC/lymono/monos,Freq. of,2-WBC",,,X,,,,,,,,,,
Monocytes (Unspecified),"WBC/2-WBC/lymono/monos/dn,Freq. of,monos",,,X,,,,,,,,,,
Monocytes (Unspecified),"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/dn,Freq. of,2-CD14+",,,X,,,,,,,,,,
Myeloid DCs (Unspecified),"Lin1-, HLA-DR+, BDCA2-, CD11c+",X,,,,,,X,X,X,X,,,X
Myeloid DCs (Unspecified),"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2+",X,,,,,,X,X,X,X,,,X
Myeloid DCs (Unspecified),"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2-",X,,,,,,X,X,X,X,,,X
Myeloid DCs (Unspecified),"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40+",,,,,,,,X,X,X,,,X
Myeloid DCs (Unspecified),"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40-",,,,,,,,X,X,X,,,X
Myeloid DCs (Unspecified),"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86+",X,,,,,,X,X,X,X,,,X
Myeloid DCs (Unspecified),"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86-",X,,,,,,X,X,X,X,,,X
Myeloid DCs (Unspecified),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+",,,,,,,,,,,X,,
Myeloid DCs (Unspecified),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD2+",,,,,,,,,,,X,,
Myeloid DCs (Unspecified),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD2-",,,,,,,,,,,X,,
Myeloid DCs (Unspecified),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD86+",,,,,,,,,,,X,,
Myeloid DCs (Unspecified),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD86-",,,,,,,,,,,X,,
Myeloid DCs (Unspecified),"Singlets/WBC/Lymph/Lin1-DR+/mDC,Freq. of,WBC",,,,X,X,,,,,,,,
Myeloid DCs (Unspecified),"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD2+,Freq. of Parent",,,,X,X,,,,,,,,
Myeloid DCs (Unspecified),"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD2,Freq. of Parent",,,,X,X,,,,,,,,
Myeloid DCs (Unspecified),"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD40+,Freq. of Parent",,,,X,X,,,,,,,,
Myeloid DCs (Unspecified),"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD40-,Freq. of Parent",,,,X,X,,,,,,,,
Myeloid DCs (Unspecified),"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD86+,Freq. of Parent",,,,X,X,,,,,,,,
Myeloid DCs (Unspecified),"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD86-,Freq. of Parent",,,,X,X,,,,,,,,
Myeloid DCs type 1 (mDC1),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+",X,,,,,,X,X,X,X,,,X
Myeloid DCs type 1 (mDC1),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2+",X,,,,,,X,X,X,X,,,X
Myeloid DCs type 1 (mDC1),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2-",X,,,,,,X,X,X,X,,,X
Myeloid DCs type 1 (mDC1),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40+",,,,,,,,X,X,X,,,X
Myeloid DCs type 1 (mDC1),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40-",,,,,,,,X,X,X,,,X
Myeloid DCs type 1 (mDC1),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86+",X,,,,,,X,X,X,X,,,X
Myeloid DCs type 1 (mDC1),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86-",X,,,,,,X,X,X,X,,,X
Myeloid DCs type 1 (mDC1),"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD1c+",,,,,,,,,X,X,,,
Myeloid DCs type 1 (mDC1),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+",,,,,,,,,,,X,,
Myeloid DCs type 1 (mDC1),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD2+",,,,,,,,,,,X,,
Myeloid DCs type 1 (mDC1),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD2-",,,,,,,,,,,X,,
Myeloid DCs type 1 (mDC1),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD86+",,,,,,,,,,,X,,
Myeloid DCs type 1 (mDC1),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD86-",,,,,,,,,,,X,,
Myeloid DCs type 1 (mDC1),"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c,Freq. of,WBC",,,,X,X,,,,,,,,
Myeloid DCs type 1 (mDC1),"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2+,Freq. of,CD1c",,,,X,X,,,,,,,,
Myeloid DCs type 1 (mDC1),"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2,Freq. of Parent",,,,X,X,,,,,,,,
Myeloid DCs type 1 (mDC1),"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD40+,Freq. of,CD1c",,,,X,X,,,,,,,,
Myeloid DCs type 1 (mDC1),"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD40-,Freq. of Parent",,,,X,X,,,,,,,,
Myeloid DCs type 1 (mDC1),"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD86+,Freq. of,CD1c",,,,X,X,,,,,,,,
Myeloid DCs type 1 (mDC1),"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD86-,Freq. of Parent",,,,X,X,,,,,,,,
Myeloid DCs type 1 (mDC1),"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+,Freq. of,sWBC",,,X,,,,,,,,,,
Myeloid DCs type 1 (mDC1),"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/CD2+,Freq. of,Q1: BDCA-1+",,,X,,,,,,,,,,
Myeloid DCs type 1 (mDC1),"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/CD2-,Freq. of,Q1: BDCA-1+",,,X,,,,,,,,,,
Myeloid DCs type 1 (mDC1),"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q5: CD45RA,, CD4+,Freq. of,Q1: BDCA-1+",,,X,,,,,,,,,,
Myeloid DCs type 1 (mDC1),"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q6: CD45RA+,, CD4+,Freq. of,Q1: BDCA-1+",,,X,,,,,,,,,,
Myeloid DCs type 1 (mDC1),"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q7: CD45RA+,, CD4,Freq. of,Q1: BDCA-1+",,,X,,,,,,,,,,
Myeloid DCs type 1 (mDC1),"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q8: CD45RA,, CD4,Freq. of,Q1: BDCA-1+",,,X,,,,,,,,,,
Myeloid DCs type 2 (mDC2),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+",,,,,,,,,X,X,,,
Myeloid DCs type 2 (mDC2),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-",X,,,,,,X,X,X,X,,,X
Myeloid DCs type 2 (mDC2),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2+",X,,,,,,X,X,X,X,,,X
Myeloid DCs type 2 (mDC2),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2-",X,,,,,,X,X,X,X,,,X
Myeloid DCs type 2 (mDC2),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40+",,,,,,,,X,X,X,,,X
Myeloid DCs type 2 (mDC2),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40-",,,,,,,,X,X,X,,,X
Myeloid DCs type 2 (mDC2),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86+",X,,,,,,X,X,X,X,,,X
Myeloid DCs type 2 (mDC2),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86-",X,,,,,,X,X,X,X,,,X
Myeloid DCs type 2 (mDC2),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-",,,,,,,,,,,X,,
Myeloid DCs type 2 (mDC2),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD2+",,,,,,,,,,,X,,
Myeloid DCs type 2 (mDC2),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD2-",,,,,,,,,,,X,,
Myeloid DCs type 2 (mDC2),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD86+",,,,,,,,,,,X,,
Myeloid DCs type 2 (mDC2),"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD86-",,,,,,,,,,,X,,
Myeloid DCs type 2 (mDC2),"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3,Freq. of,WBC",,,,X,X,,,,,,,,
Myeloid DCs type 2 (mDC2),"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD2+,Freq. of,BDCA3",,,,X,X,,,,,,,,
Myeloid DCs type 2 (mDC2),"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD2,Freq. of Parent",,,,X,X,,,,,,,,
Myeloid DCs type 2 (mDC2),"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD40+,Freq. of,BDCA3",,,,X,X,,,,,,,,
Myeloid DCs type 2 (mDC2),"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD40-,Freq. of Parent",,,,X,X,,,,,,,,
Myeloid DCs type 2 (mDC2),"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD86+,Freq. of,BDCA3",,,,X,X,,,,,,,,
Myeloid DCs type 2 (mDC2),"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD86-,Freq. of Parent",,,,X,X,,,,,,,,
NK cells,"Lymp/CD3-/CD56br,Freq. of,Lymp",,,X,,,,,,,,,,
NK cells,"Lymp/CD3-/CD56diCD16+,Freq. of,Lymp",,,X,,,,,,,,,,
NK cells,"Lymp/CD3-/CD56diCD16-,Freq. of,Lymp",,,X,,,,,,,,,,
NK cells,"Singlets/WBC/Lymph/CD3-/NK,Freq. of,Lymph",,,,X,X,,,,,,,,
NK cells,"Singlets/WBC/Lymph/CD3-/NK/CD27,Freq. of Parent",,,,X,X,,,,,,,,
NK cells,"Singlets/WBC/Lymph/CD3-/NK/CD38,Freq. of Parent",,,,X,X,,,,,,,,
NK cells,"Singlets/WBC/Lymph/CD3-/NK/Q1: CD16,, CD20-CD56+,Freq. of,NK",,,,X,X,,,,,,,,
NK cells,"Singlets/WBC/Lymph/CD3-/NK/Q2: CD16+,, CD20-CD56+,Freq. of,NK",,,,X,X,,,,,,,,
NKT-like cells,"Singlets/WBC/Lymph/CD3+/CD56,Freq. of,CD3+",,,,X,X,,,,,,,,
NKT-like cells,"Singlets/WBC/Lymph/CD3+/CD56/CD27,Freq. of Parent",,,,X,X,,,,,,,,
NKT-like cells,"Singlets/WBC/Lymph/CD3+/CD56/CD38,Freq. of Parent",,,,X,X,,,,,,,,
Naive B cells,"CD19+, CD3-, CD14-, CD27-, IgD+",X,,,,,,X,X,X,X,,,X
Naive B cells,"CD19+, CD3-, CD14-, CD27-, IgD+, CD86+",X,,,,,,X,X,X,X,,,
Naive B cells,"CD19+, CD3-, CD14-, CD27-, IgD+, HLADR+",,,,,,,,,,,,,X
Naive B cells,"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27-,, IgD+,Freq. of,Q2: CD19+, CD20+",X,,,,,,,,,,,X,
Naive B cells,"Singlet/WBC/Lymph/CD19/CD27-, IgD+",,,,,,,,,,,X,,
Naive B cells,"Singlet/WBC/Lymph/CD19/CD27-, IgD+/CD86+",,,,,,,,,,,X,,
Naive B cells,"sing/WBC/CD19+SCC/CD19+/nQ1: CD27-,, IgD+,Freq. of,CD19+",,,X,,,,,,,,,,
Naive CD4+ T cells,"CD3+, CD4+, CCR7+, CD45RA+",X,,,,,,,,,,,,
Naive CD4+ T cells,"CD45+/CD3+/CD4/Naive,Freq. of,CD4",,,X,,,,,,,,,,
Naive CD4+ T cells,"ly/CD3+/CD4+/Q10: CD45RA+,, CCR7+,Freq. of,CD4+",,,X,,,,,,,,,,
Naive CD4+ T cells,"sing/CD45+/CD3+/CD4/Naive,Freq. of,CD4",,,X,,,,,,,,,,
Naive CD8+ T cells,"CD3+, CD8+, CCR7+, CD45RA+",X,,,,,,,,,,,,
Naive CD8+ T cells,"ly/CD3+/CD8+/Q10: CD45RA+,, CCR7+,Freq. of,CD8+",,,X,,,,,,,,,,
Naive CD8+ T cells,"sing/CD45+/CD3+/CD8/Naive,Freq. of,CD8",,,X,,,,,,,,,,
Non-classical Monocytes,SLAN+,X,,,,,,X,X,X,X,,,X
Non-classical Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD14-, CD16+",,,,,,,,,,,X,,
Non-classical Monocytes,Singlet/WBC/Mono/SLAN+,,,,,,,,,,,X,,
Non-classical Monocytes,"Singlets/WBC/mono/CD3-CD19-/mo2/mo3/Q1: CD14,, CD16+,Freq. of,mo3",,,,X,X,,,,,,,,
Non-classical Monocytes,"WBC/2-WBC/lymono/monos/CD14dimCD16+,Freq. of,monos",,,X,,,,,,,,,,
Non-classical Monocytes,"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD11b+,Freq. of,CD14dimCD16+",,,X,,,,,,,,,,
Non-classical Monocytes,"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD62L+,Freq. of,CD14dimCD16+",,,X,,,,,,,,,,
Non-classical Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+,Freq. of,2-CD14+",,,X,,,,,,,,,,
Non-classical Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD11b+,Freq. of,CD14dimCD16+",,,X,,,,,,,,,,
Non-classical Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD62L+,Freq. of,CD14dimCD16+",,,X,,,,,,,,,,
Plasmablasts / Plasma cells,"CD19+, CD3-, CD14-, CD20-",X,,,,,,X,X,X,X,,,X
Plasmablasts / Plasma cells,"CD19+, CD3-, CD14-, CD27+, CD138+",X,,,,,,X,X,X,X,,,X
Plasmablasts / Plasma cells,"CD19+, CD3-, CD14-, CD38+, CD20-",X,,,,,,X,X,X,X,,,X
Plasmablasts / Plasma cells,"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+,Freq. of,Q3: CD19+, CD20-",X,,,,,,,,,,,X,
Plasmablasts / Plasma cells,"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+/CD38+,Freq. of,Q3: CD19+, CD20-",X,,,,,,,,,,,X,
Plasmablasts / Plasma cells,"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+/CD38+/CD138+,Freq. of,B lym CD27+",X,,,,,,,,,,,X,
Plasmablasts / Plasma cells,"Singlet/CD45+/B lym CD19+/Q3: CD19+,, CD20-,Freq. of,B lym CD19+",X,,,,,,,,,,,X,
Plasmablasts / Plasma cells,"Singlet/WBC/Lymph/CD19/CD19+, CD20-",,,,,,,,,,,X,,
Plasmablasts / Plasma cells,Singlet/WBC/Lymph/CD19/CD27+/CD138+,,,,,,,,,,,X,,
Plasmablasts / Plasma cells,"Singlet/WBC/Lymph/CD19/CD38+, CD20-",,,,,,,,,,,X,,
Plasmablasts / Plasma cells,"Singlets/WBC/Lymph/CD19/CD27/CD138,Freq. of,CD19",,,,X,X,,,,,,,,
Plasmablasts / Plasma cells,"Singlets/WBC/Lymph/CD19/CD27/PB,Freq. of,CD19",,,,X,X,,,,,,,,
Plasmablasts / Plasma cells,"Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+,Freq. of,CD19",,,,X,X,,,,,,,,
Plasmablasts / Plasma cells,"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56,Freq. of,CD19",,,,X,X,,,,,,,,
Plasmablasts / Plasma cells,Sum of Plasma cells and Plasmablast,X,,,,,,,,,,,X,
Plasmablasts / Plasma cells,"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmablast,Freq. of,CD19+",,,X,,,,,,,,,,
Plasmablasts / Plasma cells,"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmacell,Freq. of,CD19+",,,X,,,,,,,,,,
Plasmablasts / Plasma cells,"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/Plasmacell,Freq. of,CD19+",,,X,,,,,,,,,,
Plasmablasts / Plasma cells,"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmablast,Freq. of,CD19+",,,X,,,,,,,,,,
Plasmablasts / Plasma cells,"sing/WBC/CD19+SCC/CD19+/nQ3: CD19+,, CD20-,Freq. of,CD19+",,,X,,,,,,,,,,
Regulatory T cells (CD4+ Treg),"ly/CD3+/CD4+/CD25+,Freq. of,CD4+",,,X,,,,,,,,,,
Regulatory T cells (CD4+ Treg),"ly/CD3+/CD4+/CTLA4+,Freq. of,CD4+",,,X,,,,,,,,,,
Regulatory T cells (CD4+ Treg),"ly/CD3+/CD4+/FoxP3+,Freq. of,CD4+",,,X,,,,,,,,,,
Regulatory T cells (CD4+ Treg),"sing/CD45+/CD3+/CD4+/CD127loCD25+,Freq. of,CD4+",,,X,,,,,,,,,,
Sem Categoria Macro,"CD14+, HLA-DR+, CD40+",X,,,,,,X,X,X,X,,,X
Sem Categoria Macro,"CD14+, HLA-DR+, CX3CR1hi",X,,,,,,,,,,,,
Sem Categoria Macro,"CD14+, HLA-DR+, CX3CR1lo",X,,,,,,,,,,,,
Sem Categoria Macro,"CD14+, SLAN+",X,,,,,,,,,,,,
Sem Categoria Macro,CD14nCD16n_CD86_pP,,,,X,X,,,,,,,,
Sem Categoria Macro,CD14nCD16n_pmo,,,,X,X,,,,,,,,
Sem Categoria Macro,CD14nCD16p_CD86_pP,,,,X,X,,,,,,,,
Sem Categoria Macro,CD14pCD16n_CD86_pP,,,,X,X,,,,,,,,
Sem Categoria Macro,CD14pCD16n_pmo,,,,X,X,,,,,,,,
Sem Categoria Macro,CD14pCD16p_CD86_pP,,,,X,X,,,,,,,,
Sem Categoria Macro,CD14pCD16p_pmo,,,,X,X,,,,,,,,
Sem Categoria Macro,CD16+ granulocyte,X,,,,,,X,X,X,X,,,X
Sem Categoria Macro,"CD16+, CD62L- granulocyte",,,,,,,,X,X,X,,,X
Sem Categoria Macro,CD16- granulocyte,X,,,,,,X,X,X,X,,,X
Sem Categoria Macro,"CD16hi, CD11b+ granulocyte",,,,,,,,,X,X,,,X
Sem Categoria Macro,"CD16hi, CD11b- granulocyte",,,,,,,,,X,X,,,X
Sem Categoria Macro,"CD16lo, CD11b+ granulocyte",,,,,,,,,X,X,,,X
Sem Categoria Macro,"CD16lo, CD11b- granulocyte",,,,,,,,,X,X,,,X
Sem Categoria Macro,"CD45+/CD3+/CD4/non TFH,Freq. of,CD4",,,X,,,,,,,,,,
Sem Categoria Macro,"CD45+/CD3+/CD4/non TFH/1,Freq. of,CD4",,,X,,,,,,,,,,
Sem Categoria Macro,"CD45+/CD3+/CD4/non TFH/1/ICOS,Freq. of,1",,,X,,,,,,,,,,
Sem Categoria Macro,"CD45+/CD3+/CD4/non TFH/17/ICOS,Freq. of,17",,,X,,,,,,,,,,
Sem Categoria Macro,"CD45+/CD3+/CD4/non TFH/2/ICOS,Freq. of,2",,,X,,,,,,,,,,
Sem Categoria Macro,"CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+,Freq. of,CD4",,,X,,,,,,,,,,
Sem Categoria Macro,"CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",,,X,,,,,,,,,,
Sem Categoria Macro,"Lymp/CD3-/CD56-CD16+,Freq. of,Lymp",,,X,,,,,,,,,,
Sem Categoria Macro,Singlet/WBC/Mono/CD14+/HLADR/CD40+,,,,,,,,,,,X,,
Sem Categoria Macro,Viable,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymph,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymph/CD3+,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymph/CD3+/CD4+,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymph/CD3+/CD8+,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymphs,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymphs/CD3+,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymphs/CD3+/CD3+ CD56+,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymphs/CD3+/CD4+,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymphs/CD3+/CD4+/CD27+,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymphs/CD3+/CD4+/CD28+,,,,,,X,,,,,,,
Sem Categoria Macro,"Viable/Singlets/Lymphs/CD3+/CD4+/Q1: CD45RAD, CD27+",,,,,,X,,,,,,,
Sem Categoria Macro,"Viable/Singlets/Lymphs/CD3+/CD4+/Q2: CD45RA+, CD27+",,,,,,X,,,,,,,
Sem Categoria Macro,"Viable/Singlets/Lymphs/CD3+/CD4+/Q3: CD45RA+, CD27D",,,,,,X,,,,,,,
Sem Categoria Macro,"Viable/Singlets/Lymphs/CD3+/CD4+/Q4: CD45RAD, CD27D",,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymphs/CD3+/CD8+,,,,,,X,,,,,,,
